Date,User,Tweets
2019-07-11 10:18:06+00:00,ImranKhanPTI,I want to thank our overseas workers for sending more remittances through banking channels. Remittances for the past fiscal year came in much higher at 9.7 % annual growth &amp; totalled $21.8 bn for the yr. This was much higher than the previous year when they grew only 2.9 %
2019-07-11 04:05:09+00:00,ImranKhanPTI,Saddened to learn of train accident in Sadiqabad. My condolences to the victims families and prayers for the speedy recovery of the injured. Have asked Railways Minister to take emergency steps to counter decades of neglect of railway infrastructure &amp; ensure safety standards.
2019-07-07 14:18:01+00:00,ImranKhanPTI,"I was delighted to launch the National Poverty Graduation Initiative, one of the several initiatives we will launch under @Ehsaas_Pk this year. The key aim is to lift millions out of poverty by targeting funds, resources and skills training at the most marginalized communities."
2019-07-03 14:38:56+00:00,ImranKhanPTI,Appreciate the excellent performance of Ministry of Power: Generated additional revenue of Rs.106 bn in 8 months (Oct 2018 - May 2019) compared to same period last year (Oct 2017 - May 2018). 75% of this revenue increase is the result of the Anti Theft Drive. PTI Govt delivering.
2019-07-03 12:26:08+00:00,ImranKhanPTI,"I want to congratulate the Power Ministry. On 2nd July we reached the highest ever power supply at 22,550 MW in national grid with the system running smoothly across the country; almost 3000MW more than the max supply last summer. 1/2"
2019-06-29 17:07:24+00:00,ImranKhanPTI,Congratulations to the Pakistan team for keeping their nerve under pressure and in the end winning against Afghanistan. I also especially want to congratulate Afghanistan for the grit and determination with which they played against Pakistan today &amp; against India earlier.
2019-06-26 18:46:55+00:00,ImranKhanPTI,"Congratulations to our cricket team for a great comeback. Congratulations especially go to Babar, Haris and Shaheen for their brilliant performances."
2019-06-18 18:29:42+00:00,ImranKhanPTI,"As of today over 1 million citizens have registered at Pakistan Citizens Portal within 8 months of its launch. This is  testament of people’s trust in the system &amp; its effectiveness. No political or bureaucratic reference required to reach out to a public office.
#PMHazirHai"
2019-06-16 06:57:22+00:00,ImranKhanPTI,"5/5 3. Finally, even though India may be the favourites, banish all fear of losing. Just give your best and fight till the last ball. Then accept whatever the result like true sportsmen. The nation's prayers are with all of you. Good Luck."
2019-06-16 06:55:15+00:00,ImranKhanPTI,"4/5 1. In order ro have a winning offensive strategy Sarfaraz must go in with specialist batsmen and bowlers because ""Raillu Kattas"" rarely perform under pressure - especially the intense kind that will be generated today. 2. Unless pitch is damp, Sarfaraz must win the toss &amp; bat"
2019-06-16 06:54:55+00:00,ImranKhanPTI,3/5 All fears of losing should be banished from the mind as the mind can only process one thought at a time. Fear  of losing leads to a negative &amp; defensive strategy &amp; crucially mistakes by opponents are not pounced upon. So here are my suggestions for Sarfaraz &amp; Pakistan team:
2019-06-16 06:53:16+00:00,ImranKhanPTI,"2/5 Today, given the intensity of the match, both teams will come under great mental pressure and the power of the mind will decide the outcome of the match today. In Sarfaraz we are fortunate to have a bold captain &amp; today he will have to be at his daring best."
2019-06-16 06:52:20+00:00,ImranKhanPTI,When I started my cricketing career I assumed success was 70% talent &amp; 30% mind. By the time I finished playing cricket I felt it was 50-50 ratio. But now I tend to agree with my friend Gavaskar it's 60% mental strength &amp; 40 % talent. Today role of mind will be more than 60% 1/5
2019-06-12 06:47:22+00:00,ImranKhanPTI,"Time for nation to stop glorifying money launderers who have damaged our nation &amp; impoverished our ppl &amp; now seeking refuge behind ""democracy"". No protocol shd be extended to them. Where are plunderers of public wealth given such special treatment? Time to treat them as criminals"
2019-06-07 17:24:00+00:00,ImranKhanPTI,"Deeply saddened to learn of the shahadat of 3 officers &amp;1 soldier from a terrorist-planted IED blast in Kharkamar, N.Waziristan. My condolences to the families of the Shuhada &amp; prayers for recovery of the injured."
2019-06-05 05:28:30+00:00,ImranKhanPTI,Want to congratulate Omar Ayub and Secretary Irfan Ali for the way they went after the electricity thieves and worked on removing bottlenecks in the electricity transmission - thus allowing Pakistanis the luxury of having the first load shedding-free Ramazan.
2019-06-05 05:17:09+00:00,ImranKhanPTI,Eid Mubarak to my Pakistanis. Wishing you all a Happy Eid. Let us all resolve to to stand up as a united nation to overcome our economic crisis while putting the least amount of burden on the poorer section of our society.
2019-06-04 18:07:57+00:00,ImranKhanPTI,"I appreciate Pak Mil's unprecedented voluntary initiative of stringent cuts in their defence expenditures for next FY bec of our critical financial situation, despite multiple security challenges. My govt will spend this money saved on dev of merged tribal areas &amp; Balochistan."
2019-06-03 17:51:36+00:00,ImranKhanPTI,"Congratulations to the Pakistan cricket team for a great win and for coming back into form after a poor start in the warm up matches and the first WC match. You have the talent, all you need is the self belief that you can go all the way."
2019-05-31 09:44:30+00:00,ImranKhanPTI,"My advice to the Pakistan team today is what I would tell my players before a match: Give your 100 percent, fight to the last ball and never let the fear of losing enter your mind, influence your strategy or play. Pakistan’s prayers and support are with Sarfaraz and the team."
2019-05-24 19:47:51+00:00,ImranKhanPTI,I want to thank the people of Karachi for donating Rs 24 crore at the Friday fundraising Iftar for SKMTH. The generosity of my people never ceases to amaze me. InshaAllah will soon collect money to pay off our debts.
2019-05-24 16:04:39+00:00,ImranKhanPTI,"Dependence on imported fuels to be brought down from 41 percent to 30 percent in 5 years and less than 20 percent in 10 years using hydel, renewables and local fuels like Thar coal."
2019-05-24 16:00:11+00:00,ImranKhanPTI,I congratulate Omar Ayub and his whole team. Rs 81 billion increase in collection in 8 months. Rs 58 billion from theft control. 80 percent of the country free from load shedding. Zero load shedding at sehr and iftar. Keep up the good work. This is Naya Pakistan.
2019-05-23 11:45:09+00:00,ImranKhanPTI,"I congratulate Prime Minister Modi on the electoral victory of BJP and allies. Look forward to working with him for peace, progress and prosperity in South Asia"
2019-05-21 10:56:44+00:00,ImranKhanPTI,"I hope this Ramazan people will open their hearts &amp; donate generously to SKMTH for treatment of poor cancer patients. Challenge for SKMTH now even greater as poor patients provided treatment at SKMTH in Lhr &amp; Peshawar, Construction of Pak's 3rd &amp; biggest SKMTH in Khi also ongoing"
2019-05-20 08:45:37+00:00,ImranKhanPTI,I want to thank the donors at the Islamabad SKMTH fundraising iftar last night where  a record Rs 20 crores was raised.
2019-05-20 08:42:24+00:00,ImranKhanPTI,My condolences and prayers go to Asif Ali &amp; his family on the passing of his daughter from cancer. May Allah give them strength to bear such a precious loss.
2019-05-11 18:33:34+00:00,ImranKhanPTI,I want to thank all the donors at SKMT fundraising iftar for breaking all previous records and donating Rs 20 crores tonight. All zakat donations are only used to give free treatment to the cancer patients.
2019-05-08 08:03:12+00:00,ImranKhanPTI,Strongly condemn the terror blast outside Data Darbar this morning. Have asked Punjab govt to provide all assistance to the injured &amp; families of victims.
2019-05-04 16:50:58+00:00,ImranKhanPTI,Today 4th May is the death anniversary of Tipu Sultan - a man I admire because he preferred freedom and died fighting for it rather than live a life of enslavement.
2019-05-02 04:01:57+00:00,ImranKhanPTI,My condolences &amp; prayers go to the families of our 3 soldiers martyred while repulsing condemnable terrorist attack in Alwara area of N Waziristan. We salute the bravery &amp; sacrifices of our soldiers in combating terrorists.
2019-04-25 08:24:31+00:00,ImranKhanPTI,"3/3 And now we have entered the final phase: to build Pakistan on the principles of Riyasat-i-Madina -  a society based on justice, compassion and the dignity of our human beings."
2019-04-25 08:24:10+00:00,ImranKhanPTI,2/3 It took 15 years in the  political wilderness before my message penetrated amongst the masses. It took another 7 years to convert our movement into a party capable of fighting elections.
2019-04-25 08:23:49+00:00,ImranKhanPTI,Today is PTI's 23rd Anniv. Our struggle has been the greatest of any party since Independence &amp; gone thru 3 phases: 1st phase was mobilising ppl on our msg for change; to fight corrupt status quo &amp; make ppl aware that a nation only progresses by developing its Human Resources 1/3
2019-04-21 07:56:56+00:00,ImranKhanPTI,Strongly condemn the horrific terrorist attack in Sri Lanka on Easter Sunday  resulting in precious lives lost &amp; hundreds injured. My profound condolences go to our Sri Lankan brethren. Pakistan stands in complete solidarity with Sri Lanka in their hour of grief.
2019-04-21 02:36:09+00:00,ImranKhanPTI,Wishing all our Christian citizens a happy Easter.
2019-04-12 09:58:59+00:00,ImranKhanPTI,Deeply saddened &amp; have strongly condemned the terrorist attack in Hazarganji market area of Quetta targeting our innocent people. I have asked for an immediate inquiry &amp; increased security for the ppl. Prayers go to the families of the victims &amp; for early recovery of the injured.
2019-04-12 04:22:03+00:00,ImranKhanPTI,"CDA's biggest plots' auction results in highest ever return for CDA - Rs 11.28 bn. This highlights 2 imp facts: One, it is a vote of confidence in future of Pakistan's economy; two, it reveals how much money has been lost in the past because of non-tranparent, corrupt practices."
2019-04-09 04:11:28+00:00,ImranKhanPTI,"When ldrs in Israel &amp; India show a moral bankruptcy in their readiness to annex occupied West Bank &amp; IOK in defiance of int law, UNSC resolutions &amp; their own Constitution for votes, don't their ppl feel a sense of outrage &amp; wonder how far they will go simply to win an election?"
2019-04-07 13:34:19+00:00,ImranKhanPTI,Our prayers go to the people of Iran as they deal with unprecedented flooding. We stand ready to provide any humanitarian assistance required.
2019-04-06 14:24:38+00:00,ImranKhanPTI,"Our Prophet PBUH said: ""Many nations before you were destroyed where there was one law for the powerful and another for the weak”."
2019-04-06 07:59:29+00:00,ImranKhanPTI,The truth always prevails and is always the best policy. BJP's attempt to win elections through whipping up war hysteria and false claims of downing a Pak F 16 has backfired with US Defence officials also confirming that no F16 was missing from Pakistan's fleet.
2019-04-06 07:51:39+00:00,ImranKhanPTI,Our prov &amp; fed elected reps must visit Panah Gahs in their areas &amp; share a meal with the people using them. This will sensitise them to issues faced by the bottom tier of our society. In the coming months I will personally monitor effectiveness of our poverty alleviation jihad
2019-04-02 07:03:00+00:00,ImranKhanPTI,Today on #WorldAutismAwarenessDay there is global recognition not only of Autism but also the immense potential of persons with Autism. I want to assure parents &amp; teachers we will have a policy that ensures welfare of persons with Autism &amp; allows them to realise their potential.
